genre_ID,average tempo, average duration,average danceability
1,91.35,352593.2,0.28
2,118.9,1047430.4,0.31
3,192.82,133454.0,0.67
4,116.07,249531.2,0.55
5,105.51,201839.1,0.52
6,142.5,366098.4,0.47
7,117.28,174867.0,0.67
8,107.59,228204.9,0.73
9,67.56,580533.0,0.17
10,139.82,165480.0,0.44
11,112.72,165441.6,0.63
12,127.6,303980.2,0.7
13,112.92,288994.2,0.68
14,129.14,254073.5,0.46
15,131.01,401250.7,0.68
16,135.38,145366.5,0.55
17,98.77,241560.7,0.4
18,114.69,201385.5,0.6
19,128.18,59531.0,0.39
20,168.18,242160.0,0.4
21,121.13,232309.2,0.55
22,117.26,204393.9,0.57
23,121.94,205446.9,0.56
24,106.4,181958.0,0.57
25,117.01,502291.0,0.65
26,134.91,292687.4,0.57
27,114.22,200027.8,0.5
28,113.65,202442.6,0.53
29,111.39,320455.1,0.61
30,94.07,278581.3,0.44
31,119.58,339622.0,0.64
32,132.28,221829.0,0.7
33,114.74,265097.6,0.75
34,116.95,239156.5,0.67
35,119.14,234095.0,0.54
36,97.9,317427.0,0.37
37,124.99,220920.8,0.64
38,126.36,391767.9,0.75
39,118.61,403900.0,0.58
40,114.05,284760.2,0.8
41,115.62,316544.4,0.62
42,113.22,278800.0,0.65
43,144.45,247120.0,0.48
44,117.19,310666.8,0.63
45,102.06,188818.3,0.76
46,130.79,279414.4,0.57
47,113.3,237396.9,0.55
48,110.38,199820.0,0.41
49,116.45,224973.5,0.7
50,124.99,175313.0,0.81
51,136.0,468207.0,0.78
52,127.97,187106.0,0.68
53,116.74,203421.6,0.58
54,99.95,144000.0,0.89
55,124.4,269234.6,0.52
56,125.97,235680.3,0.53
57,109.81,246129.7,0.51
58,122.55,244022.4,0.54
59,126.28,264020.1,0.6
60,125.3,224461.9,0.47
61,108.36,242870.3,0.7
62,125.33,247261.7,0.46
63,131.43,214472.6,0.45
64,135.48,217077.1,0.66
65,117.87,265613.9,0.66
66,125.6,244563.4,0.48
67,104.37,262296.8,0.55
68,127.02,295331.0,0.74
69,98.6,239712.7,0.78
70,112.28,338320.2,0.37
71,111.03,356480.0,0.26
72,125.0,390326.0,0.8
73,119.23,270670.9,0.58
74,115.0,294900.0,0.64
75,113.9,317732.3,0.55
76,130.1,259950.7,0.5
77,99.4,259229.2,0.26
78,72.59,428762.5,0.09
79,125.35,324251.3,0.61
80,98.12,296200.5,0.36
81,107.73,347241.0,0.29
82,145.84,330846.0,0.81
83,108.07,236179.5,0.31
84,106.05,334937.2,0.35
85,94.87,334736.6,0.32
86,107.92,178615.8,0.31
87,111.86,169481.3,0.54
88,131.67,184313.1,0.47
89,114.15,223666.8,0.44
90,120.28,285188.4,0.41
91,139.89,275649.1,0.54
92,101.52,334403.1,0.29
93,117.2,319998.2,0.47
94,114.9,499556.7,0.38
95,100.1,171723.7,0.3
96,111.03,308323.0,0.32
97,92.78,244296.6,0.54
98,171.94,211579.8,0.31
99,85.16,223125.1,0.25
100,103.66,149662.0,0.74
101,129.09,244109.4,0.51
102,143.9,215485.0,0.41
103,123.74,239901.4,0.55
104,124.26,215883.2,0.53
105,102.0,263692.3,0.6
106,122.0,203776.4,0.51
107,124.86,288462.2,0.48
108,120.81,233940.0,0.51
109,124.09,190787.0,0.58
110,128.15,213325.0,0.58
111,122.1,180511.3,0.55
112,127.97,210000.0,0.74
113,107.78,263246.7,0.47
114,105.64,454893.7,0.42
115,111.64,212859.2,0.54
116,122.02,331795.7,0.58
117,134.38,230116.8,0.43
118,106.17,168760.0,0.57
119,118.94,397971.3,0.49
120,126.2,203868.2,0.38
121,139.0,317169.8,0.6
122,130.95,316369.2,0.74
123,102.33,286664.0,0.54
124,179.99,293360.0,0.62
125,119.75,245627.0,0.55
126,93.01,238011.4,0.82
127,113.4,255130.6,0.59
128,138.01,201773.0,0.62
129,122.88,280980.0,0.42
130,114.37,184359.8,0.58
131,152.97,217906.0,0.65
132,87.94,292000.0,0.14
133,121.94,254472.5,0.52
134,128.51,225259.5,0.54
135,121.46,273080.7,0.5
136,110.38,258417.6,0.32
137,122.75,285791.7,0.35
138,113.22,218193.6,0.73
139,98.67,167900.0,0.15
140,132.98,225959.0,0.71
141,135.13,240629.7,0.48
142,122.41,245432.9,0.73
143,122.71,228363.3,0.74
144,138.36,311685.6,0.76
145,114.03,223064.3,0.5
146,104.0,259493.0,0.56
147,73.47,253843.0,0.38
148,111.03,356480.0,0.26
149,119.5,267107.0,0.68
150,111.45,398947.5,0.23
151,135.02,308613.0,0.87
152,111.82,375480.0,0.23
153,128.93,235050.8,0.44
154,101.97,172945.2,0.53
155,106.95,314960.0,0.27
156,127.73,241838.6,0.6
157,118.86,219569.1,0.58
158,135.14,285163.2,0.58
159,108.79,230951.5,0.62
160,120.69,181841.8,0.78
161,127.0,227352.0,0.47
162,127.54,367667.0,0.3
163,147.01,181143.0,0.58
164,117.72,205644.7,0.33
165,144.9,104918.0,0.71
166,104.83,128650.0,0.36
167,174.6,194267.0,0.11
168,120.31,222160.0,0.56
169,135.4,246457.8,0.6
170,130.58,212258.0,0.58
171,114.83,224192.7,0.48
172,121.01,183478.1,0.68
173,127.25,326948.4,0.69
174,118.78,285503.5,0.57
175,114.6,254253.2,0.54
176,107.31,201167.2,0.6
177,125.03,167673.0,0.64
178,138.39,237688.4,0.41
179,123.3,233526.5,0.59
180,147.61,259187.0,0.45
181,115.19,276101.8,0.43
182,121.87,268332.0,0.44
183,105.75,266160.0,0.65
184,113.26,279672.0,0.51
185,121.0,230818.8,0.53
186,125.33,119893.2,0.51
187,148.72,229067.0,0.28
188,140.06,197195.0,0.59
189,140.72,160152.5,0.68
190,165.88,196000.0,0.58
191,99.4,269131.3,0.27
192,115.7,391377.9,0.36
193,121.91,364076.1,0.24
194,98.6,183167.5,0.36
195,122.31,266157.0,0.77
196,106.61,261612.9,0.34
197,103.95,262725.0,0.52
198,108.76,148467.0,0.73
199,116.47,327386.7,0.27
200,103.25,349011.9,0.33
201,107.87,403327.3,0.44
202,124.55,253482.8,0.48
203,115.53,233132.7,0.61
204,104.14,330441.5,0.46
205,115.75,236563.3,0.75
206,132.94,260869.5,0.65
207,125.25,252300.6,0.77
208,127.49,262905.3,0.74
209,123.56,338463.3,0.61
210,104.0,260402.9,0.47
211,111.73,217645.5,0.5
212,90.4,166267.0,0.48
213,170.71,166173.0,0.54
214,113.82,166087.5,0.64
215,123.27,199844.6,0.82
216,100.12,148894.0,0.59
217,115.04,160908.9,0.61
218,117.23,435218.7,0.65
219,117.87,237780.2,0.53
220,122.44,276146.5,0.35
221,123.03,502439.0,0.88
222,113.91,184203.2,0.34
223,123.81,179896.5,0.38
224,95.93,307727.9,0.28
225,92.95,134213.0,0.76
226,139.91,301890.7,0.53
227,130.2,202607.0,0.68
228,128.05,214916.4,0.67
229,118.97,192654.6,0.64
230,85.6,162554.4,0.64
231,106.03,189627.5,0.59
232,118.15,203185.4,0.5
233,102.01,203988.9,0.5
234,129.97,187709.4,0.54
235,104.91,354449.6,0.31
236,113.01,234988.0,0.73
237,123.39,139115.6,0.53
238,120.25,208924.7,0.51
239,126.42,211768.5,0.52
240,90.56,305840.0,0.65
241,99.15,246286.6,0.61
242,94.25,73703.0,0.65
243,130.42,252153.3,0.31
244,100.8,224755.9,0.42
245,99.73,91742.3,0.39
246,109.64,360173.0,0.18
247,104.66,231291.4,0.37
248,121.12,313585.3,0.48
249,107.44,183333.0,0.19
250,105.42,286406.9,0.42
251,152.04,168352.2,0.56
252,130.76,274472.8,0.64
253,123.85,244142.9,0.59
254,125.32,229767.8,0.66
255,131.62,280919.2,0.76
256,133.73,262114.5,0.74
257,108.02,269880.0,0.66
258,119.98,364000.0,0.86
259,125.24,246617.0,0.72
260,106.86,252036.3,0.68
261,123.84,259485.7,0.8
262,110.41,373886.1,0.56
263,121.21,246970.9,0.7
264,126.21,211531.6,0.73
265,102.18,189849.4,0.55
266,111.61,289249.0,0.48
267,100.61,256076.0,0.54
268,96.36,244444.3,0.79
269,124.18,216913.3,0.53
270,166.5,159940.5,0.69
271,113.5,328699.6,0.51
272,113.45,292608.0,0.61
273,106.34,227329.6,0.66
274,136.62,70173.3,0.47
275,152.45,227411.0,0.6
276,117.96,221649.0,0.6
277,106.52,309287.0,0.39
278,119.75,222412.0,0.56
279,133.15,306453.1,0.58
280,129.87,278630.3,0.67
281,142.0,552868.0,0.71
282,129.99,842311.0,0.78
283,101.74,189037.8,0.56
284,113.37,402320.0,0.18
285,120.23,248512.0,0.64
286,116.47,214280.0,0.76
287,130.73,352347.0,0.49
288,111.96,225385.0,0.45
289,122.0,247869.0,0.82
290,124.21,454889.4,0.61
291,96.84,247423.0,0.63
292,118.64,192197.4,0.44
293,90.17,305733.0,0.66
294,142.8,211105.3,0.72
295,126.56,349101.8,0.82
296,118.71,394727.3,0.38
297,115.4,265419.0,0.59
298,138.4,281501.1,0.69
299,112.42,354000.0,0.21
300,114.51,234605.5,0.54
301,125.19,332730.2,0.61
302,128.49,225284.5,0.6
